
2025-07-21 19:55:53,549 - ERROR - Podcast: Error procesando episodio #397: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,664 - ERROR - Podcast: Error procesando episodio #396: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,781 - ERROR - Podcast: Error procesando episodio #395: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:53,898 - ERROR - Podcast: Error procesando episodio #394: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,015 - ERROR - Podcast: Error procesando episodio #393: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,137 - ERROR - Podcast: Error procesando episodio #392: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,252 - ERROR - Podcast: Error procesando episodio #391: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,367 - ERROR - Podcast: Error procesando episodio #390: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,500 - ERROR - Podcast: Error procesando episodio #389: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,627 - ERROR - Podcast: Error procesando episodio #388: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,751 - ERROR - Podcast: Error procesando episodio #387: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:54,868 - ERROR - Podcast: Error procesando episodio #386: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,062 - ERROR - Podcast: Error procesando episodio #385: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,177 - ERROR - Podcast: Error procesando episodio #384: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,302 - ERROR - Podcast: Error procesando episodio #383: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,422 - ERROR - Podcast: Error procesando episodio #382: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,537 - ERROR - Podcast: Error procesando episodio #381: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,654 - ERROR - Podcast: Error procesando episodio #380: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,767 - ERROR - Podcast: Error procesando episodio #379: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:55,880 - ERROR - Podcast: Error procesando episodio #378: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
